phase,Accuracy,Precision,Recall_(Sensitivity/TPR),F1-Score,Specificity_(TNR),ROC-AUC,PR-AUC,LogLoss,MCC,AG_roc_auc
train,0.6743421052631579,0.0,0.0,0.0,1.0,0.6369056417836907,0.45263990723327097,0.7968054809451106,0.0,0.6369056417836906
validation,0.6818181818181818,0.0,0.0,0.0,1.0,0.7452380952380953,0.5750601819139893,0.7681759006994299,0.0,0.7452380952380953
test,0.6781609195402298,0.0,0.0,0.0,1.0,0.6295399515738499,0.4808856604735908,0.7847363432070809,0.0,0.6295399515738499
