phase,Accuracy,Precision,Recall_(Sensitivity/TPR),F1-Score,Specificity_(TNR),ROC-AUC,PR-AUC,LogLoss,MCC,AG_roc_auc
train,0.6743421052631579,0.0,0.0,0.0,1.0,0.6824094604582409,0.5286574496890859,0.7327767946383841,0.0,0.6824094604582409
validation,0.6818181818181818,0.0,0.0,0.0,1.0,0.7238095238095238,0.6026336513012762,0.7488763305458472,0.0,0.7238095238095239
test,0.6781609195402298,0.0,0.0,0.0,1.0,0.5711259079903148,0.38533902598130243,0.7980522963826241,0.0,0.5711259079903148
