phase,Accuracy,Precision,Recall_(Sensitivity/TPR),F1-Score,Specificity_(TNR),ROC-AUC,PR-AUC,LogLoss,MCC,AG_roc_auc
train,0.6743421052631579,0.0,0.0,0.0,1.0,0.5354767184035477,0.35088745822212286,0.9982479063178001,0.0,0.5354767184035477
validation,0.6818181818181818,0.0,0.0,0.0,1.0,0.7761904761904761,0.6104501274193888,0.8638140972180873,0.0,0.7761904761904763
test,0.6666666666666666,0.0,0.0,0.0,0.9830508474576272,0.49515738498789347,0.33200675769148036,1.0300117512022093,-0.07428545439536635,0.49515738498789347
